Scenario,Expected Priority,Actual Priority,Priority Match,Expected Risk,Actual Risk,Risk Match,Keyword Score,Hallucination
S001,P2,P2,True,HIGH,HIGH,True,0.6,False
S002,P3,P3,True,MODERATE,MODERATE,True,0.33,False
S003,P2,P2,True,HIGH,HIGH,True,0.71,False
S004,P2,P2,True,HIGH,HIGH,True,0.6,False
S005,P3,P2,False,MODERATE,HIGH,False,0.67,False
S006,P2,P2,True,HIGH,CRITICAL,False,0.6,False
S007,P4,P3,False,LOW,LOW,True,0.0,False
S008,P3,P2,False,MODERATE,HIGH,False,0.5,False
S009,P2,P2,True,HIGH,HIGH,True,0.71,False
S010,P4,P4,True,LOW,LOW,True,0.0,False
